"Note","Course","Module","Clip","Time in Clip","URL"
"AWS -> Netflix, Airbnb","AWS Developer: The Big Picture","Course Overview","Course Overview","0:30","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m0&clip=0&mode=live&start=30&noteid=99cffccf-e226-410c-9baf-7c2c9b22efc7"
"Core Services vs Extended Services","AWS Developer: The Big Picture","Course Overview","Course Overview","0:55","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m0&clip=0&mode=live&start=55&noteid=3e66094e-ded7-4abc-9730-56ce9f33b02c"
"How services interact with each other?","AWS Developer: The Big Picture","What Is AWS?","Introduction","1:22","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=0&mode=live&start=82&noteid=8c10debb-340a-4197-9b22-1d7f87b5a9be"
"What problems does cloud computing solve?","AWS Developer: The Big Picture","What Is AWS?","Introduction","1:30","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=0&mode=live&start=90&noteid=3742bc6f-e68e-4665-94eb-bf78a9b47c2d"
" Core Services: EC2, S3, RDS, Route53","AWS Developer: The Big Picture","What Is AWS?","Introduction","2:12","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=0&mode=live&start=132&noteid=623e5e8f-25fe-4179-8de6-4f09a68cd2f4"
"Extended: EB, Lambda, DynamoDB, VPC, CloudFront, CloudWatch","AWS Developer: The Big Picture","What Is AWS?","Introduction","2:28","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=0&mode=live&start=148&noteid=4198a735-006a-49c8-9098-d3495bcc2281"
"Problem: Overhead of hardware cost and maintenance","AWS Developer: The Big Picture","What Is AWS?","The Web Application Conundrum","1:03","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=1&mode=live&start=63&noteid=a1f5dd8a-5b93-4ab5-bf80-0dec1173c743"
"Cloud: Abstracts virtual and physical costs of deployments","AWS Developer: The Big Picture","What Is AWS?","The Web Application Conundrum","2:18","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=1&mode=live&start=138&noteid=6f7ea43e-46d7-469c-bf40-c58847a7a500"
"2004: AWS launches SQS","AWS Developer: The Big Picture","What Is AWS?","Hello Amazon Web Services","0:27","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=2&mode=live&start=27&noteid=5d1fdb3a-62f0-4ca7-8b60-1f7e2789d3af"
"AWS: Collection of cloud computing services working together or individually to run software","AWS Developer: The Big Picture","What Is AWS?","Hello Amazon Web Services","0:53","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=2&mode=live&start=53&noteid=55e32cbd-c239-484d-91c9-86739e2f22c6"
"Each service does some form of computing","AWS Developer: The Big Picture","What Is AWS?","Hello Amazon Web Services","1:19","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=2&mode=live&start=79&noteid=6f1182a5-45ba-456d-92a4-f6ff58c12fb9"
"AWS Pros: Cost and Scalability","AWS Developer: The Big Picture","What Is AWS?","Hello Amazon Web Services","2:29","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=2&mode=live&start=149&noteid=43f7327d-bad5-4472-934d-58d3c196903f"
"No upfront cost","AWS Developer: The Big Picture","What Is AWS?","Hello Amazon Web Services","3:23","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=2&mode=live&start=203&noteid=ca91548c-a490-4a04-aca9-92ce665ed94e"
"Extremely scalable b/c lack of dedicated hardware","AWS Developer: The Big Picture","What Is AWS?","Tracing the Global Infrastructure of AWS","0:03","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=3&mode=live&start=3&noteid=bb6f812c-55bd-4329-bbfa-324a65104a04"
"Global deployment reduces latency and increases redundancy","AWS Developer: The Big Picture","What Is AWS?","Tracing the Global Infrastructure of AWS","0:27","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=3&mode=live&start=27&noteid=3004dc84-2403-462f-9681-0c7f33e1bc7d"
"AWS has a large geographical footprint which reduces physical distance (therefore latency) between server and client","AWS Developer: The Big Picture","What Is AWS?","Tracing the Global Infrastructure of AWS","1:16","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=3&mode=live&start=76&noteid=ed558a9c-2e29-402f-a841-4a99c19a3dde"
"Region -> Availability Zone -> Data Center","AWS Developer: The Big Picture","What Is AWS?","Tracing the Global Infrastructure of AWS","2:35","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=3&mode=live&start=155&noteid=f87abb6a-cd8c-4ef3-8ab6-deb5c7f0ec0b"
"Multiple data centers allows increased redundancy in availability zones","AWS Developer: The Big Picture","What Is AWS?","Tracing the Global Infrastructure of AWS","2:59","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=3&mode=live&start=179&noteid=b11a2c42-b74a-4a2f-bc0e-49db8d535837"
"https://status.aws.amazon.com","AWS Developer: The Big Picture","What Is AWS?","Tracing the Global Infrastructure of AWS","3:38","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=3&mode=live&start=218&noteid=4df856e6-7817-4c6d-a81d-d4d18eadba24"
"Applications deployed on same VPC as services can communicate via local network","AWS Developer: The Big Picture","What Is AWS?","How Does AWS Work?","0:52","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=4&mode=live&start=52&noteid=4c4811eb-3d5e-46fd-9ba6-63e0ed54a901"
"Each server instance is controlled by a security group","AWS Developer: The Big Picture","What Is AWS?","How Does AWS Work?","1:47","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m1&clip=4&mode=live&start=107&noteid=5fb195ec-3381-4403-aeac-0f874a8b642d"
"EC2: manual config, deploy, monitoring","AWS Developer: The Big Picture","Enhancing Your App with AWS Databases and Application Services","Elastic Beanstalk","1:05","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m3&clip=1&mode=live&start=65&noteid=e150db00-1a92-4e97-95cd-4b1ee8ab9a4c"
"EB: can automate EC2 manual steps","AWS Developer: The Big Picture","Enhancing Your App with AWS Databases and Application Services","Elastic Beanstalk","1:16","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m3&clip=1&mode=live&start=76&noteid=842985e1-5916-4770-8a44-36e0576a60bc"
"EB scaling - set and forget","AWS Developer: The Big Picture","Enhancing Your App with AWS Databases and Application Services","Elastic Beanstalk","1:29","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m3&clip=1&mode=live&start=89&noteid=060a99ec-28f1-44eb-a2d1-4fdf15c78702"
"EB logging - automatic monitoring and aggregation","AWS Developer: The Big Picture","Enhancing Your App with AWS Databases and Application Services","Elastic Beanstalk","1:40","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m3&clip=1&mode=live&start=100&noteid=5abe66da-942b-409a-b649-3f30e03bb3fb"
"EB structure: Application -> Version <- Environment","AWS Developer: The Big Picture","Enhancing Your App with AWS Databases and Application Services","Elastic Beanstalk","1:56","https://app.pluralsight.com/player?course=aws-developer-big-picture&author=ryan-lewis&name=aws-developer-big-picture-m3&clip=1&mode=live&start=116&noteid=541cd425-c659-480d-9aa5-4a8cd05bbf1b"
